seed,exp_id,val_mean,test_mean,test_combined
0,clip_seed_0_repro_sorted_valmean_ema098_frames8_notopk,0.6481481481481481,0.7017543859649124,0.39473684210526316
1,clip_seed_1_repro_sorted_valmean_ema098_frames8_notopk,0.638888888888889,0.7105263157894738,0.42105263157894735
2,clip_seed_2_repro_sorted_valmean_ema098_frames8_notopk,0.6296296296296297,0.6052631578947368,0.3157894736842105
3,clip_seed_3_repro_sorted_valmean_ema098_frames8_notopk,0.5555555555555556,0.7192982456140351,0.42105263157894735
4,clip_seed_4_repro_sorted_valmean_ema098_frames8_notopk,0.6296296296296297,0.7017543859649122,0.42105263157894735
