tag,lr,seed,exp_id,val_mean_select_val_mean,val_mean_select_test_mean,val_mean_select_test_combined,val_combined_select_epoch,val_combined_select_val_mean,val_combined_select_val_combined,val_combined_select_test_mean,val_combined_select_test_combined
lr5e-4_ema098_nosmooth,0.0005,0,clip_lr5e-4_ema098_nosmooth_seed_0,0.6481481481481481,0.7280701754385964,0.5,21,0.5092592592592592,0.3888888888888889,0.6842105263157894,0.3157894736842105
lr5e-4_ema098_nosmooth,0.0005,1,clip_lr5e-4_ema098_nosmooth_seed_1,0.648148148148148,0.6929824561403509,0.39473684210526316,6,0.5925925925925926,0.3611111111111111,0.6666666666666666,0.42105263157894735
lr5e-4_ema098_nosmooth,0.0005,2,clip_lr5e-4_ema098_nosmooth_seed_2,0.6481481481481481,0.6228070175438596,0.2894736842105263,6,0.6481481481481481,0.4444444444444444,0.6228070175438596,0.2894736842105263
lr1e-4_ema098_nosmooth,0.0001,0,clip_lr1e-4_ema098_nosmooth_seed_0,0.6296296296296297,0.7368421052631579,0.5263157894736842,16,0.5833333333333334,0.3055555555555556,0.7280701754385964,0.4473684210526316
lr1e-4_ema098_nosmooth,0.0001,1,clip_lr1e-4_ema098_nosmooth_seed_1,0.6666666666666666,0.6666666666666666,0.34210526315789475,13,0.6296296296296297,0.4166666666666667,0.6578947368421052,0.42105263157894735
lr1e-4_ema098_nosmooth,0.0001,2,clip_lr1e-4_ema098_nosmooth_seed_2,0.6574074074074074,0.6491228070175439,0.3157894736842105,11,0.6481481481481483,0.4444444444444444,0.6228070175438596,0.34210526315789475
