config,seed,val_mean,test_combined
A_rot0_w0.5_m0.3,0,0.7314814814814814,0.21052631578947367
B_rot20_w0.5_m1.0,0,0.5740740740740741,0.3157894736842105
A_rot0_w0.5_m0.3,1,0.7222222222222222,0.2894736842105263
B_rot20_w0.5_m1.0,1,0.611111111111111,0.2631578947368421
