fold,val_mean,test_mean,test_combined
0,0.6096491228070176,0.7280701754385964,0.42105263157894735
1,0.5726495726495727,0.7456140350877193,0.5263157894736842
2,0.6901408450704226,0.7982456140350878,0.5526315789473685
3,0.7129629629629631,0.7105263157894738,0.34210526315789475
4,0.7417840375586855,0.7017543859649122,0.3684210526315789
